chunk_id,label,text
11,negative,"that our work is more efficient and we wish to highlight, as indicated in our submitted annual performance plan, app, the department ... we wish to indicate as we have done in our annual performance and i want to just list a few of these risks: that we are still experiencing delays in the finalisation of our organisational structure; we lack of automated information technology, it, systems; there are inadequate business systems not integrated to support the strategy of the department; there is a misalignment between the organisational structure, legislation and policies to the service delivery; there are limited desktop research on services and benefits for military veterans; there s an absence of a consolidated stakeholder engagement plan and there s lack of effective performance. in an attempt to mitigate some of these challenges, we have appointed the ministerial transversal task team led by ambassador mseleku. the department continues to be under the leadership of the acting director-general mafu and together unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 16 with the ambassador, are leading all process to begin to systematically address the challenges that i ve highlighted above. chair, in conclusion, the sa national defence force remains essential to sovereignty, central to internal stability and critical to the republic s and regional commitments. parliament is encouraged, member reddy, to support the department s effort to adequate resources. we must choose to align defence ambition with an increased funding trajectory, restore coherence between policy and force design, protect the soldiers as the centre of capability, rebuild critical domains, correct governance failures, stabilise operational financing and renew the defence industrial base in support of long-term sovereignty. we will continuously work hard for the improvement of the lives of"
12,neutral,"increased funding trajectory, restore coherence between policy and force design, protect the soldiers as the centre of capability, rebuild critical domains, correct governance failures, stabilise operational financing and renew the defence industrial base in support of long-term sovereignty. we will continuously work hard for the improvement of the lives of our military veterans. the deputy minister hlophe, my colleague here, will elaborate further on the operational matters for the department of military veterans. unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 17 chair, with the remaining minutes i want to quickly go to some of the areas that i think we also need to highlight, which include the work that we are doing in terms of the ombudsman and we want the house to join me in wishing general masondo well as he s going to be finishing his term this year. but it is an important structure for us and we want to thank him most sincerely. again, i want to acknowledge the presence of our colleagues who come from the reserve force who are here advising the minister on the different things that we have to do to improve the lives of veterans, and for that, we are very grateful and highly appreciate it. thank you, chair. ms s p jama: hon house chairperson, hon members, peace-loving south africans, our constitution reminds us that national security must reflect the resolve of south africans to live as equals, to live in peace and harmony, to be free from fear and want. that constitutional responsibility rests heavily on the shoulders of the sa national defense force, sandf. today, the sandf continues safeguarding our territorial integrity, protecting our borders, participating in unrevised hansard mini plenary - national assembly"
13,negative,"as equals, to live in peace and harmony, to be free from fear and want. that constitutional responsibility rests heavily on the shoulders of the sa national defense force, sandf. today, the sandf continues safeguarding our territorial integrity, protecting our borders, participating in unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 18 peacekeeping missions on the continent, and supporting internal stability operations under difficult and evolving conditions. these responsibilities are not symbolic. they are essential to the sovereignty, stability, and security of the republic. at the same time, we must honestly acknowledge the pressures confronting the defense environment. through our engagement with the strategic plan, annual performance plan, and budget allocations of the department, armaments corporation of south africa, armscor, denel, and related entities, serious concerns continue arising regarding aging infrastructure, maintenance backlogs, procurement delays, and operational sustainability. these challenges cannot simply be viewed as administrative matters. they directly affect operational readiness and the long-term capability of sandf. a defense force that cannot sustain readiness due to infrastructure renewal is continuously delayed, maintenance systems remain under pressure, and technical capability becomes increasingly strained over time. we must therefore confront the reality that the operational expectations placed on sandf continue growing, while the unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 19 resources required to sustain long-term readiness remain under significant pressure. the current allocation of r57,6 billion for the 2026-27 financial year, which represents only approximately 0,7 of the gdp, remains well below the 1,5 target required for a modern and sustainable defence force. this funding gap continues to constrain sandf s ability to meet its expanding mandate effectively. chairperson, we also recognise that"
14,neutral,"of r57,6 billion for the 2026-27 financial year, which represents only approximately 0,7 of the gdp, remains well below the 1,5 target required for a modern and sustainable defence force. this funding gap continues to constrain sandf s ability to meet its expanding mandate effectively. chairperson, we also recognise that many of these structural challenges developed over a prolonged period and require discipline, strategic, and long-term intervention. in this regard, we welcome the continued efforts by the minister and the department to strengthen governance, improve accountability, and reposition the defense environment within difficult fiscal conditions. the strategic direction towards rebuilding operational readiness, improving institutional stability, and strengthening long-term planning certainty is both necessary and important. we further emphasise the critical role the sandf plays in supporting internal stability operations against gangsterism and illegal mining syndicates. unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 20 these deployments have helped restore hope in affected communities and must be adequately supported to ensure continued effectiveness. for this reason, sustainable and predictable defence funding remains critically important. we cannot continue expecting sandf to expand operational responsibilities without ensuring that maintenance capability, infrastructure investment, and institutional support remain sustainable over the long term. we have also consistently raised the importance of strengthening procurement oversight, improved consequence management, and addressing governance weaknesses across the defense environment. weak procurement systems do not only create financial risk, they weaken operational effectiveness itself, delays in acquisition projects, failures in contract management, and weaknesses in oversight ultimately place additional strain on operational readiness. this is why parliament's oversight role over the department, armscor, and denel remains essential to protecting both accountability and institutional capability. we further recognise the strategic importance of denel and the broader domestic defence"
15,neutral,"projects, failures in contract management, and weaknesses in oversight ultimately place additional strain on operational readiness. this is why parliament's oversight role over the department, armscor, and denel remains essential to protecting both accountability and institutional capability. we further recognise the strategic importance of denel and the broader domestic defence industry in supporting sovereign capability, unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 21 local industrial development, and the retention of critical technical expertise. south africa must continue strengthening its own institutional and industrial capacity to support long term defence sustainability. as domestic deployments continue in support of internal stability operations, we must equally ensure that constitutional safeguards, civilian oversight, and proper command structures remain firmly protected. the sandf must continue operating as a disciplined, professional, and constitutional force rooted in the democratic values of our republic. while the fiscal environment remains constrained, abandoning investment in defence capability would carry far greater long-term consequences for national security, border safeguarding, and the operational integrity of the state itself. for these reasons, the anc supports budget votes 23 and 26 and reaffirms our commitment to building a transformed, ethical, professional, and operationally ready sandf capable of defending the sovereignty and democratic future of south africa. i thank you. unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 22 mr p kubukeli: hon chairperson, hon members, while military background is not a constitutional requirement for the executive office dealing with the defence and military veterans, but when political decisions undermine combat readiness, capability, or discipline and amount to a direct failure of constitutional duty, everything begs for scrutiny. the president has failed his most basic constitutional obligation to"
16,negative,"background is not a constitutional requirement for the executive office dealing with the defence and military veterans, but when political decisions undermine combat readiness, capability, or discipline and amount to a direct failure of constitutional duty, everything begs for scrutiny. the president has failed his most basic constitutional obligation to ensure continuity of command. the failure to appoint a chief of the sandf and a director general for the department of military veterans is not an administrative delay. it is a dereliction of executive responsibility with direct national security consequences. this is not administrative oversight. it is institutional sabotage. one of the most crucial arms of the state is being run without accounting officers, without strategic leadership, and without constitutional stewardship. the pattern of this rot is monotonous throughout my presentation. for instance, the military veterans act is unambiguous when it declares that the sa national military veterans association is the statutory national military veterans association. sections 5, 7, and 8 are not optional. unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 23 any verification policy or benefit process that excludes air defence regiment, samba, is unlawful, illegitimate, and unconstitutional. a department that refuses to comply with its own legislation is not exercising discretion. it is defying parliament. the amended act and benefits regulations may authorise a means test, but authorisation does not equal constitutionality. the benefits threshold is irrational, outdated, and indefensible. it excludes the very veterans the act was created to uplift. it disproportionately does more harm to former freedom fighters, those who spent decades without pensions of formal employment. the minister is implementing an arbitrary means test. she is applying to the letter of the act without the spirit. the letter may be cited,"
17,negative,"veterans the act was created to uplift. it disproportionately does more harm to former freedom fighters, those who spent decades without pensions of formal employment. the minister is implementing an arbitrary means test. she is applying to the letter of the act without the spirit. the letter may be cited, but if the spirit, the restorative justice, the dignity, the redress has been abandoned, then we might as well stop pretending that this government cares for the plight of militaryvveterans. unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 24 when the spirit dies, the law becomes a weapon against those it was meant to uplift. the constitutional court is unambiguous when it says that remedial legislation must advance the disadvantaged, not exclude them. yet, this means test forces liberation fighters to prove poverty before accessing restorative benefits. that is not dignity. that is not justice. that is not constitutional. the mk party rejects this means test. we are dealing with constitutional delinquents, leaders who treat constitutional obligations as optional and ignore statutory duties. as a result, the sandf is operating without strategic direction. parliament required the defence capstone, military strategy, force design, force structure, and journey to greatness by the end of 2025. none were submitted. bases are dilapidated, equipment obsolete, readiness at historic lows. this chronic underfunding will ultimately force the state to outsource core defence functions to private contractors. and this, we believe, is the end game of the sandf, commander-in chief, because, as we speak, there's a us company interested in buying denel denel pretoria metal pressings, pmp. defence unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 25 intelligence receives a"
18,negative,"end game of the sandf, commander-in chief, because, as we speak, there's a us company interested in buying denel denel pretoria metal pressings, pmp. defence unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 25 intelligence receives a minimal increase of only 0,29 . this is strategic blindness in the era of cyber warfare. south africa faces no conventional land invasion. our real threats are smuggling, trafficking, illegal mining, cyber attacks, and maritime crime. yet the land-wide defence programme consumes the largest share of the budget, while remaining the least modernised. south africa is a maritime nation with a land-heavy defence force, and this imbalance is a strategic liability. this is a 20th century strategy in the 21st century. the mk party is advocating that part of our existing army personnel be retrained, moved entirely out of the defence force, and integrated into the south sa police service as a specialised policing support unit, deployed specifically for policing functions in similar troubled spots where the sandf is currently being used to assist the police. that will afford the navy the opportunity to recruit marines, that is, the amphibious infantry to patrol our 3 000 kilometres coast coastline. marines offer dual domain unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 26 capability. infantry does not. the eastern cape has 800 kilometers of coastline, yet no naval base, no marine unit, no permanent patrol. our economy is maritime. our vulnerabilities are maritime and our future prosperity, oil, gas, fisheries, offshore minerals, and protection of undersea data cables is maritime, yet the sa navy remains underfunded, under-equipped, and unable to meet its cr targets. the government has repeatedly"
19,negative,"base, no marine unit, no permanent patrol. our economy is maritime. our vulnerabilities are maritime and our future prosperity, oil, gas, fisheries, offshore minerals, and protection of undersea data cables is maritime, yet the sa navy remains underfunded, under-equipped, and unable to meet its cr targets. the government has repeatedly claimed that denel has been transferred to the department of defence, yet denel remains funded under vote 26, not vote 23. danel was transferred in policy but not in law, in intention, but not in budget, in rhetoric, but not in the public finance management act, pfma. this fragmentation is a national security risk. the delays in the armscor acquisition and procurement processes must be fixed. yes, rigid processes are a necessity, but they must be on time, in time, all the time, as the motto of armscor says. the air force is not a luxury. it is a pillar of national security. no credible maritime security posture exists without air-lift surveillance, reconnaissance and rapid response. unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 27 the mk party wishes to place it on record that the austerities in the budget of the defence and military veterans are a risk that cannot be reversed because the defence budget, all the time there are cuts, and our defence force is suffering. our support for this budget vote, that is budget vote 23 and 26, are conditional. we support these votes on a strict condition that all the structural failures will be corrected. isizulu: gwaza mkhonto, gwaza! english: the house chairperson mr c t frolick : order! order, hon members. order! please continue. order, hono members. discuss your conditional things outside of the chamber, not here. please continue, hon member."
20,negative,"votes on a strict condition that all the structural failures will be corrected. isizulu: gwaza mkhonto, gwaza! english: the house chairperson mr c t frolick : order! order, hon members. order! please continue. order, hono members. discuss your conditional things outside of the chamber, not here. please continue, hon member. mr m l shelembe: hon chairperson, i stand here today to debate the budget allocation to the department of military veterans vote 26. this department derives the mandate from the military veterans act no 8 of 2011, which is the primary legislation governing the affairs of former soldiers. it establishes a framework for the department of military veterans to provide unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 28 socioeconomic support, benefits, and recognition to eligible military veterans and their dependents. chair, the act is clear. it aims to improve the quality of lives of military veterans and their dependents so that they realise their socioeconomic progress, recognise and honour military veterans in life, and remember them in death for their sacrifices on behalf of the nation. the act places an obligation on the state to roll out the following services and benefits to the military veterans and their dependents. compensation, pensions, access to military health services, subsidised access to public transport, education support, job placement, and burial support. chairperson, it is with a heavy heart that the department of military veterans has remained dysfunctional and chaotic since the act was passed over 15 years ago. the minister's failure to appoint a competent director general in the department of military veterans has contributed immensely to the leadership instability and chaos in the department of military veterans. unrevised hansard mini plenary - national assembly wednesday, 20 may 2026"
21,negative,"since the act was passed over 15 years ago. the minister's failure to appoint a competent director general in the department of military veterans has contributed immensely to the leadership instability and chaos in the department of military veterans. unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 29 despite numerous letters that i have written to the minister asking her to appoint a director general in 2024, 2025, and 2026, she has not even acknowledged receipts of my letters. house chair, the minister's silence is not a diplomatic tool, but a stark confession. as i speak now, hundreds of our heroes have no roof over their heads, have no food to eat, and can't access health facilities. how long must our heroes wait for food whilst the minister and her officials enjoy a life of luxury? minister, a hungry veteran is a national disgrace. if anything, all this department and the minister have delivered is excuses and empty promises. the military veterans prescribe the ministers to ensure that military veterans are vetted to qualify for benefits. minister, there are serious allegations that some officials within the department of military veterans are the beneficiaries of these benefits. this clearly demonstrates that the act and pension benefit regulations are not being applied by the department of military veterans. unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 30 last year, i submitted a written question to minister motshega, asking how many of the department of military veterans officials are benefiting from the veteran s fund and why? to date, the minister is yet to reply. thousands of military veterans who apply for pension benefits do not get"
22,negative,"30 last year, i submitted a written question to minister motshega, asking how many of the department of military veterans officials are benefiting from the veteran s fund and why? to date, the minister is yet to reply. thousands of military veterans who apply for pension benefits do not get replies from the government pension administration agency, gpaa, acknowledging receipt of their application within 90 days as stipulated within the regulations. a number of them have been waiting for more than a year to receive replies. during the presentation of the recent annual performance plan, app, the department of military veterans annual performance plan revealed that the department ran out of funds for its pension benefit in september last year, and had to reprioritise money from its internal budget to continue the payments which resulted in a financial headache to the department, thus limiting its ability to pay pension, education and health care benefits. disappointingly, the allocation for this programme has been decreased for this financial year. provincial offices are not unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 31 fully operational. while call centres are non-existent, there is a budget allocated for that, and the minister has been in the office for more than two years with no visible improvement. the minister's foreword emphasizes that the establishment of transversal ministerial task team as a key development to drive the department turnaround strategy, including ... ... the only solution to rescue the department is to appoint a director general now, not tomorrow. thank you. mr c g niehaus: hon house chairperson, hon members, the eff rises to reject, in the strongest possible terms, votes 23 and 26. the budgets for the department of defence and the department"
23,negative,"only solution to rescue the department is to appoint a director general now, not tomorrow. thank you. mr c g niehaus: hon house chairperson, hon members, the eff rises to reject, in the strongest possible terms, votes 23 and 26. the budgets for the department of defence and the department of military veterans, including armaments corporation of south africa, armscor, denel and the castle control board, we cannot and we will not support these votes. these budgets represent not mere fiscal failure, but a deliberate managed decline of our national defence capability unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 32 and a shameful betrayal of the men and women who sacrificed everything for south africa's liberation. let us be clear about the facts staring us in the face from the documents before this hon house. the 2026-27 allocation for the department of defence is only r57,6 billion, a nominal decrease from last year and a real-term cut of over 5,6 . defence spending remains stuck at a pathetic 0,7 of gross domestic product, gdp. this is not austerity. this is national suicide dressed up as fiscal prudence. the sa national defence force, sandf, is in the throes of collapse. eight billion rand in maintenance backlogs, unfunded capabilities across air, sea and land, and yet more unauthorised expenditure looming on compensation of employees. meanwhile, the department of military veterans is in terminal decline. programme 2, responsible for housing, pensions, healthcare and counselling, has been slashed by r39,4 million, an 11,35 real cut. unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 33 housing targets have collapsed to a mere 450 houses over the past three"
